Team 1,Team 2,Score,Map,T1 Atk,T1 Def,T2 Atk,T2 Def,Event,Match,Date,Pick,T1 Ban 1,T1 Ban 2,T1 Ban 3,T1 Ban 4,T2 Ban 1,T2 Ban 2,T2 Ban 3,T2 Ban 4,Veto Start,VOD,T1 RT Start,T1 OT Start,T1 ATK RT,T1 DEF RT,T1 ATK OT,T1 DEF OT,T2 ATK RT,T2 DEF RT,T2 ATK OT,T2 DEF OT
Team BDS,RazaH Company Academy,7 : 5,Nighthaven Labs,Montagne,Azami,Blackbeard,Mira,Six Invitational 2025 - GS,,2025-02-05 15:00:00,T1,Lair,Skyscraper,Chalet,,Clubhouse,Kafe Dostoyevsky,Border,,T1,https://youtu.be/SUjXC1PgAXY?si=FOLWKUsOsspnRmQq,atk,,4,3,,,3,2,,
Team BDS,RazaH Company Academy,7 : 4,Bank,Ying,Azami,Blackbeard,Valkyrie,Six Invitational 2025 - GS,,2025-02-05 15:00:00,T2,,,,,,,,,T1,https://youtu.be/SUjXC1PgAXY?si=vxHemSr-aHnKM8wk&t=3811,atk,,2,5,,,0,4,,
Team BDS,RazaH Company Academy,0 : 0,Consulate,,,,,Six Invitational 2025 - GS,,2025-02-05 15:00:00,Dec.,,,,,,,,,T1,,,,,,,,,,,
DarkZero,Team BDS,3 : 7,Nighthaven Labs,Montagne,Azami,Maverick,Tubarão,Six Invitational 2025 - GS,,2025-02-04 17:50:00,T1,Skyscraper,Bank,Consulate,,Clubhouse,Lair,Border,,T1,https://youtu.be/lu646Zr097Y?si=8OIke_I9CXbm8WLy,atk,,2,1,,,3,4,,
DarkZero,Team BDS,8 : 7,Chalet,Deimos,Fenrir,Blitz,Mira,Six Invitational 2025 - GS,,2025-02-04 17:50:00,T2,,,,,,,,,T1,https://youtu.be/lu646Zr097Y?si=35AgCKlNuscti-kD&t=3368,def,def,5,1,0,2,5,1,0,1
DarkZero,Team BDS,7 : 1,Kafe Dostoyevsky,Deimos,Azami,Grim,Mira,Six Invitational 2025 - GS,,2025-02-04 17:50:00,Dec.,,,,,,,,,T1,https://youtu.be/lu646Zr097Y?si=IcDLHfXAtlGI_rTC&t=8179,def,,2,5,,,1,0,,
Team BDS,w7m esports,7 : 4,Consulate,Grim,Fenrir,Dokkaebi,Kapkan,BLAST R6 Major Montreal 2024,Grand Final,2024-11-17 19:45:00,T1,Lair,Border,,,Bank,Skyscraper,,,T1,https://youtu.be/UoD7B0eX9-Q?si=cdLwDnWsx5wH8y6r&t=19,atk,,4,3,,,2,2,,
Team BDS,w7m esports,5 : 7,Nighthaven Labs,Maverick,Tubarão,Deimos,Azami,BLAST R6 Major Montreal 2024,Grand Final,2024-11-17 19:45:00,T2,,,,,,,,,T1,https://youtu.be/UoD7B0eX9-Q?si=PnHtbyUaiuKJMpLI&t=3538,def,,2,3,,,3,4,,
Team BDS,w7m esports,6 : 8,Clubhouse,Montagne,Mira,Thatcher,Bandit,BLAST R6 Major Montreal 2024,Grand Final,2024-11-17 19:45:00,T1,,,,,,,,,T1,https://youtu.be/UoD7B0eX9-Q?si=g-BXWcNl3DIKGv-M&t=7332,atk,def,2,4,0,0,2,4,1,1
Team BDS,w7m esports,3 : 7,Kafe Dostoyevsky,Montagne,Maestro,Brava,Kaid,BLAST R6 Major Montreal 2024,Grand Final,2024-11-17 19:45:00,T2,,,,,,,,,T1,https://youtu.be/UoD7B0eX9-Q?si=iNiQU8AM-Y6_tQqc&t=12223,atk,,2,1,,,3,4,,
Team BDS,w7m esports,0 : 0,Chalet,,,,,BLAST R6 Major Montreal 2024,Grand Final,2024-11-17 19:45:00,Dec.,,,,,,,,,T1,,,,,,,,,,,
FaZe Clan,Team BDS,1 : 7,Nighthaven Labs,Montagne,Azami,Buck,Valkyrie,BLAST R6 Major Montreal 2024,Semifinals,2024-11-16 17:45:00,T1,Chalet,Border,Bank,,Lair,Consulate,Clubhouse,,T1,https://youtu.be/qYs2PfoU7tM?si=zeotrNzOhIIdUzgN&t=14,atk,,1,0,,,2,5,,
FaZe Clan,Team BDS,7 : 8,Skyscraper,Montagne,Azami,Blitz,Valkyrie,BLAST R6 Major Montreal 2024,Semifinals,2024-11-16 17:45:00,T2,,,,,,,,,T1,https://youtu.be/qYs2PfoU7tM?si=BnTuhcsQVTE4TeAi&t=2875,def,atk,2,4,1,0,2,4,1,1
FaZe Clan,Team BDS,0 : 0,Kafe Dostoyevsky,,,,,BLAST R6 Major Montreal 2024,Semifinals,2024-11-16 17:45:00,Dec.,,,,,,,,,T1,,,,,,,,,,,
Team BDS,Team Secret,7 : 2,Kafe Dostoyevsky,Blitz,Valkyrie,Deimos,Castle,BLAST R6 Major Montreal 2024,Quarterfinals,2024-11-15 20:10:00,T1,Border,Nighthaven Labs,Consulate,,Bank,Chalet,Clubhouse,,T1,https://youtu.be/5oFLJpnsi8M?si=MBsc0kaadtqm-zuc&t=8,def,,2,5,,,1,1,,
Team BDS,Team Secret,4 : 7,Lair,Blitz,Mira,Deimos,Smoke,BLAST R6 Major Montreal 2024,Quarterfinals,2024-11-15 20:10:00,T2,,,,,,,,,T1,https://youtu.be/5oFLJpnsi8M?si=lbA1a3EDwDAQ7CUh&t=3286,def,,2,2,,,4,3,,
Team BDS,Team Secret,7 : 5,Skyscraper,Blitz,Azami,Deimos,Tubarão,BLAST R6 Major Montreal 2024,Quarterfinals,2024-11-15 20:10:00,Dec.,,,,,,,,,T1,https://youtu.be/5oFLJpnsi8M?si=GbETNiK2lBllE2cW&t=6795,def,,4,3,,,3,2,,
Team BDS,Virtus.pro,8 : 7,Border,Grim,Mira,Montagne,Azami,BLAST R6 Major Montreal 2024,Round 4 - High,2024-11-12 19:00:00,T2,Bank,Kafe Dostoyevsky,Consulate,,Skyscraper,Nighthaven Labs,Lair,,T2,https://youtu.be/eQbB1jHXkWo?si=kTWilyQ7mI-yEPaE&t=2,atk,atk,2,4,2,0,2,4,1,0
Team BDS,Virtus.pro,8 : 7,Chalet,Grim,Valkyrie,Montagne,Azami,BLAST R6 Major Montreal 2024,Round 4 - High,2024-11-12 19:00:00,T1,,,,,,,,,T2,https://youtu.be/eQbB1jHXkWo?si=j7ZJRJwCEWyt0rEH&t=4652,atk,atk,4,2,2,0,4,2,1,0
Team BDS,Virtus.pro,0 : 0,Clubhouse,,,,,BLAST R6 Major Montreal 2024,Round 4 - High,2024-11-12 19:00:00,Dec.,,,,,,,,,T2,,,,,,,,,,,
Team BDS,Black Dragons,7 : 5,Consulate,Ying,Azami,Dokkaebi,Lesion,BLAST R6 Major Montreal 2024,Round 3 - Mid,2024-11-11 16:30:00,Dec.,Lair,Nighthaven Labs,Kafe Dostoyevsky,Border,Clubhouse,Bank,Skyscraper,Chalet,T2,https://youtu.be/682RTTINTWM?si=y9hq9rKlz4LksROt,def,,4,3,,,3,2,,
Team BDS,Dplus,7 : 4,Clubhouse,Montagne,Mira,Maverick,Tubarão,BLAST R6 Major Montreal 2024,Round 2 - Low,2024-11-11 01:30:00,Dec.,Consulate,Nighthaven Labs,Lair,Kafe Dostoyevsky,Skyscraper,Bank,Chalet,Border,T2,https://youtu.be/QOXJASd8JHE?si=bOV38aWQwiA7IScY&t=10,atk,,3,4,,,1,3,,
Team BDS,w7m esports,7 : 8,Border,Blitz,Mira,Deimos,Azami,BLAST R6 Major Montreal 2024,Round 1,2024-11-10 17:50:00,Dec.,Kafe Dostoyevsky,Chalet,Nighthaven Labs,Lair,Bank,Skyscraper,Consulate,Clubhouse,T1,https://youtu.be/KZe4rt0IsgE?si=rbzLnRHe8W3ArfI8,def,atk,4,2,0,1,4,2,0,2
Team Secret,Team BDS,7 : 5,Nighthaven Labs,Deimos,Lesion,Blitz,Mira,EU 2024 - Stage 2,Upper Bracket Final,2024-10-08 19:30:00,T1,Kafe Dostoyevsky,Bank,Clubhouse,,Border,Lair,Consulate,,T1,,atk,,3,4,,,2,3,,
Team Secret,Team BDS,4 : 7,Chalet,Deimos,Tubarão,Blitz,Valkyrie,EU 2024 - Stage 2,Upper Bracket Final,2024-10-08 19:30:00,T2,,,,,,,,,T1,,atk,,3,1,,,4,3,,
Team Secret,Team BDS,7 : 8,Skyscraper,Deimos,Lesion,Blitz,Azami,EU 2024 - Stage 2,Upper Bracket Final,2024-10-08 19:30:00,Dec.,,,,,,,,,T1,,def,atk,3,3,0,1,3,3,0,2
